id	name	extra	desc
1331	Adamant scimitar		A vicious curved sword.
1332	Adamant scimitar		Swap this note at any bank for an Adamant scimitar.
1245	Adamant spear	Members	An adamantite tipped spear.
1246	Adamant spear	Members	Swap this note at any bank for an Adamant spear.
3174	Adamant spear(kp)	Members	A Karambwan poisoned adamantite tipped spear.
1259	Adamant spear(p)	Members	A poisoned adamantite tipped spear.
1260	Adamant spear(p)	Members	Swap this note at any bank for an Adamant spear(p).
1183	Adamant sq shield		A medium square shield.
1184	Adamant sq shield		Swap this note at any bank for an Adamant sq shield.
1287	Adamant sword		A razor sharp sword.
1288	Adamant sword		Swap this note at any bank for an Adamant sword.
2361	Adamantite bar		It's a bar of adamantite.
2362	Adamantite bar		Swap this note at any bank for an Adamantite bar.
449	Adamantite ore		This needs refining.
450	Adamantite ore		Swap this note at any bank for an Adamantite ore.
2538	Adamnt fire arrows	Members	Arrows with adamant heads and oil soaked cloth.
2539	Adamnt fire arrows	Members	These adamant headed arrows are ablaze with fire.
804	Adamnt thrownaxe	Members	A finely balanced throwing axe.
1345	Adamnt warhammer		I don't think it's intended for joinery.
1346	Adamnt warhammer		Swap this note at any bank for an Adamnt warhammer.
1858	Address label	Members	It says 'To Lord Handelmort, Handelmort Mansion'.
2996	Agility arena ticket	Members	I can exchange these for further experience or items.
3038	Agility potion(1)	Members	1 dose of agility potion.
3039	Agility potion(1)	Members	Swap this note at any bank for an Agility potion(1).
3036	Agility potion(2)	Members	2 doses of agility potion.
3037	Agility potion(2)	Members	Swap this note at any bank for an Agility potion(2).
3034	Agility potion(3)	Members	3 doses of agility potion.
3035	Agility potion(3)	Members	Swap this note at any bank for an Agility potion(3).
3032	Agility potion(4)	Members	4 doses of agility potion.
3033	Agility potion(4)	Members	Swap this note at any bank for an Agility potion(4).
1397	Air battlestaff	Members	It's a slightly magical stick.
1398	Air battlestaff	Members	Swap this note at any bank for an Air battlestaff.
573	Air orb	Members	A magic glowing orb.
574	Air orb	Members	Swap this note at any bank for an Air orb.
556	Air rune		One of the 4 basic elemental Runes.
1438	Air talisman		A mysterious power emanates from the talisman...
1439	Air talisman		Swap this note at any bank for an Air talisman.
3270	Alco-chunks	Members	Pineapple chunks dipped in strong liquor.
4	Ammo mould	Members	Used to make cannon ammunition.
701	Ammonium nitrate	Members	An acrid chemical.
1595	Amulet mould		Used to make gold amulets
1596	Amulet mould		Swap this note at any bank for an Amulet mould.
1478	Amulet of accuracy		It increases my aim.
1479	Amulet of accuracy		Swap this note at any bank for an Amulet of accuracy.
1729	Amulet of defence		An enchanted emerald amulet of protection.
1730	Amulet of defence		Swap this note at any bank for an Amulet of defence.
1498	Amulet of doomion	Members	A mystical demonic amulet.
1704	Amulet of glory	Members	A very powerful dragonstone amulet.
1705	Amulet of glory	Members	Swap this note at any bank for an Amulet of glory.
1706	Amulet of glory(1)	Members	A dragonstone amulet with 1 magic charge.
1707	Amulet of glory(1)	Members	Swap this note at any bank for an Amulet of glory(1).
1708	Amulet of glory(2)	Members	A dragonstone amulet with 2 magic charges.
1709	Amulet of glory(2)	Members	Swap this note at any bank for an Amulet of glory(2).
1710	Amulet of glory(3)	Members	A dragonstone amulet with 3 magic charges.
1711	Amulet of glory(3)	Members	Swap this note at any bank for an Amulet of glory(3).
1712	Amulet of glory(4)	Members	A dragonstone amulet with 4 magic charges.
1713	Amulet of glory(4)	Members	Swap this note at any bank for an Amulet of glory(4).
1499	Amulet of holthion	Members	A mystical demonic amulet.
1727	Amulet of magic		An enchanted sapphire amulet of magic.
1728	Amulet of magic		Swap this note at any bank for an Amulet of magic.
1497	Amulet of othanian	Members	A mystical demonic amulet.
1731	Amulet of power		An enchanted diamond amulet of power.
1732	Amulet of power		Swap this note at any bank for an Amulet of power.
1725	Amulet of strength		An enchanted ruby amulet.
1726	Amulet of strength		Swap this note at any bank for an Amulet of strength.
1842	Ana in a barrel	Members	A mining barrel with Ana in it.
319	Anchovies		Some nicely cooked fish.
320	Anchovies		Swap this note at any bank for an Anchovies.
2297	Anchovy pizza		A pizza with anchovies.
2298	Anchovy pizza		Swap this note at any bank for an Anchovy pizza.
1816	Annas' print	Members	An imprint of Annas' fingerprint.
2458	Antifire potion(1)	Members	1 dose of anti-firebreath potion.
2459	Antifire potion(1)	Members	Swap this note at any bank for an Antifire potion(1).
2456	Antifire potion(2)	Members	2 doses of anti-firebreath potion.
2457	Antifire potion(2)	Members	Swap this note at any bank for an Antifire potion(2).
2454	Antifire potion(3)	Members	3 doses of anti-firebreath potion.
2455	Antifire potion(3)	Members	Swap this note at any bank for an Antifire potion(3).
2452	Antifire potion(4)	Members	4 doses of anti-firebreath potion.
2453	Antifire potion(4)	Members	Swap this note at any bank for an Antifire potion(4).
179	Antipoison(1)	Members	1 dose of antipoison potion.
180	Antipoison(1)	Members	Swap this note at any bank for an Antipoison(1).
177	Antipoison(2)	Members	2 doses of antipoison potion.
178	Antipoison(2)	Members	Swap this note at any bank for an Antipoison(2).
175	Antipoison(3)	Members	3 doses of antipoison potion.
176	Antipoison(3)	Members	Swap this note at any bank for an Antipoison(3).
2446	Antipoison(4)	Members	4 doses of antipoison potion.
2447	Antipoison(4)	Members	Swap this note at any bank for an Antipoison(4).
2323	Apple pie		Mmm Apple pie.
2324	Apple pie		Swap this note at any bank for an Apple pie.
708	Arcenia root	Members	The root of an Arcenia plant.
3749	Archer helm	Members	This helmet is worn by archers.
3750	Archer helm	Members	Swap this note at any bank for an Archer helm.
1464	Archery ticket	Members	I can exchange this for equipment.
1528	Ardrigal	Members	This herb is Ardrigal.
738	Ardrigal mixture	Members	It's a mixture of Ardrigal and water, I need another ingredient to finish this potion.
87	Armadyl pendant	Members	Yet another amulet.
52	Arrow shaft	Members	A wooden arrow shaft
1905	Asgarnian ale		Probably the finest ale in Asgarnia.
1906	Asgarnian ale		Swap this note at any bank for an Asgarnian ale.
592	Ashes		A heap of ashes.
593	Ashes		Swap this note at any bank for an Ashes.
600	Astrology book	Members	A book on the history of Astrology in RuneScape.
3402	Asyn remains	Members	The remains of a deadly shade.
3403	Asyn remains	Members	Swap this note at any bank for an Asyn remains.
125	Attack potion(1)	Members	1 dose of attack potion.
126	Attack potion(1)	Members	Swap this note at any bank for an Attack potion(1).
123	Attack potion(2)	Members	2 doses of attack potion.
124	Attack potion(2)	Members	Swap this note at any bank for an Attack potion(2).
121	Attack potion(3)	Members	3 doses of attack potion.
122	Attack potion(3)	Members	Swap this note at any bank for an Attack potion(3).
2428	Attack potion(4)	Members	4 doses of attack potion.
2429	Attack potion(4)	Members	Swap this note at any bank for an Attack potion(4).
261	Avantoe	Members	A useful herb.
262	Avantoe	Members	Swap this note at any bank for an Avantoe.
492	Axe handle		Useless without the head.
493	Axe handle		Swap this note at any bank for an Axe handle.
508	Axe head		It's missing a handle.
509	Axe head		Swap this note at any bank for an Axe head.
510	Axe head		It's missing a handle.
511	Axe head		Swap this note at any bank for an Axe head.
512	Axe head		It's missing a handle.
513	Axe head		Swap this note at any bank for an Axe head.
514	Axe head		It's missing a handle.
515	Axe head		Swap this note at any bank for an Axe head.
516	Axe head		It's missing a handle.
517	Axe head		Swap this note at any bank for an Axe head.
518	Axe head		It's missing a handle.
519	Axe head		Swap this note at any bank for an Axe head.
520	Axe head		It's missing a handle.
521	Axe head		Swap this note at any bank for an Axe head.
534	Babydragon bones	Members	Ew it's a pile of bones.
535	Babydragon bones	Members	Swap this note at any bank for a Babydragon bones.
583	Bailing bucket	Members	It's a bailing bucket.
584	Bailing bucket	Members	Swap this note at any bank for a Bailing bucket.
585	Bailing bucket	Members	It's a bailing bucket full of salty water.
586	Bailing bucket	Members	Swap this note at any bank for a Bailing bucket.
2407	Ball	Members	A childs' ball.
1759	Ball of wool		Spun from sheeps wool.
1760	Ball of wool		Swap this note at any bank for a Ball of wool.
1963	Banana		Mmm this looks tasty.
1964	Banana		Swap this note at any bank for a Banana.
3177	Banana left		Mmm this looks tasty.
3178	Banana left		Swap this note at any bank for a Banana left.
47	Barb bolttips	Members	I can make bolts with these.
3823	Barbed bolt2		None
3824	Barbed bolt3		None
3825	Barbed bolt4		None
881	Barbed bolts	Members	Great if you have a crossbow!
3826	Barbed bolts		None
455	Barcrawl card	Members	The official Alfred Grimhand bar crawl card.
3239	Bark	Members	Bark from a hollow tree.
3240	Bark	Members	Swap this note at any bank for a Bark.
783	Bark sample	Members	A sample of the bark from the Grand Tree.
1841	Barrel	Members	An empty mining barrel.
3216	Barrel	Members	An empty barrel.
3217	Barrel	Members	Swap this note at any bank for a Barrel.
3218	Barrel bomb	Members	A barrel full of fire oil.
3219	Barrel bomb	Members	A fused barrel full of fire oil.
3220	Barrel of coal-tar	Members	A barrel full of coal-tar.
3221	Barrel of naphtha	Members	A barrel full of naphtha.
365	Bass	Members	Wow, this is a big fish.
366	Bass	Members	Swap this note at any bank for a Bass.
530	Bat bones	Members	Bones are for burying!
531	Bat bones	Members	Swap this note at any bank for a Bat bones.
2164	Batta tin	Members	A deep tin used for baking gnome battas in.
2886	Battered book	Members	A very thickley bound book.
2887	Battered key	Members	An old battered key.
1391	Battlestaff	Members	It's a slightly magical stick.
1392	Battlestaff	Members	Swap this note at any bank for a Battlestaff.
616	Beads of the dead	Members	A curious looking neck ornament.
1852	Bedobin key	Members	A key to the chest in Captain Siad's room.
1917	Beer		A glass of frothy ale.
1918	Beer		Swap this note at any bank for a Beer.
3803	Beer	Members	Frothy and alcoholic.
3804	Beer	Members	Swap this note at any bank for a Beer.
1919	Beer glass		I need to fill this with beer.
1920	Beer glass		Swap this note at any bank for a Beer glass.
684	Belt buckle	Members	Used to hold up trousers!
2633	Beret	Members	Pouvez-vous parler francais?
2634	Beret	Members	Swap this note at any bank for a Beret.
2635	Beret	Members	Pouvez-vous parler francais?
2636	Beret	Members	Swap this note at any bank for a Beret.
2637	Beret	Members	Pouvez-vous parler francais?
2638	Beret	Members	Swap this note at any bank for a Beret.
3751	Berserker helm	Members	This helmet is worn by berserkers.
3752	Berserker helm	Members	Swap this note at any bank for a Berserker helm.
624	Bervirius notes	Members	Notes taken from the tomb of Bervirius.
532	Big bones		Ew it's a pile of bones.
533	Big bones		Swap this note at any bank for a Big bones.
3230	Big book of bangs	Members	A book by Mel Achy.
305	Big fishing net	Members	Useful for catching lots of fish.
306	Big fishing net	Members	Swap this note at any bank for a Big fishing net.
422	Bird feed	Members	Birds love this stuff!
1313	Black 2h sword		A two handed sword.
1314	Black 2h sword		Swap this note at any bank for a Black 2h sword.
1685	Black amulet		None
1686	Black amulet		Swap this note at any bank for a Black amulet.
1361	Black axe		A sinister looking axe.
1362	Black axe		Swap this note at any bank for a Black axe.
1367	Black battleaxe		A vicious looking axe.
1368	Black battleaxe		Swap this note at any bank for a Black battleaxe.
1474	Black bead		A small round black bead.
1475	Black bead		Swap this note at any bank for a Black bead.
38	Black candle	Members	A spooky candle.
1107	Black chainbody		A series of connected metal rings.
1108	Black chainbody		Swap this note at any bank for a Black chainbody.
3098	Black claws	Members	A set of fighting claws.
3118	Black claws	Members	Swap this note at any bank for a Black claws.
746	Black dagger	Members	A black obsidian dagger, it has a strange aura about it.
1217	Black dagger		A vicious black dagger.
1218	Black dagger		Swap this note at any bank for a Black dagger.
1233	Black dagger(p)	Members	This dagger is poisoned.
1234	Black dagger(p)	Members	Swap this note at any bank for a Black dagger(p).
3093	Black dart	Members	A deadly throwing dart with a black tip.
3094	Black dart(p)	Members	A deadly poisoned dart with a black tip.
1165	Black full helm		A full face helmet.
1166	Black full helm		Swap this note at any bank for a Black full helm.
2595	Black full helm (g)		Black full helm with gold trim.
2596	Black full helm (g)		Swap this note at any bank for a Black full helm (g).
2587	Black full helm (t)		Black full helm with trim.
2588	Black full helm (t)		Swap this note at any bank for a Black full helm (t).
3196	Black halberd	Members	A black halberd.
3197	Black halberd	Members	Swap this note at any bank for a Black halberd.
3463	Black key black	Members	A black key with a black painted eyelet.
3461	Black key brown	Members	A black key with a brown painted eyelet.
3462	Black key crimson	Members	A black key with a crimson painted eyelet.
3464	Black key purple	Members	A black key with a purple painted eyelet.
3460	Black key red	Members	A black key with a blood-red painted eyelet.
1195	Black kiteshield		A large metal shield.
1196	Black kiteshield		Swap this note at any bank for a Black kiteshield.
2597	Black kiteshield (g)		Black kiteshield with gold trim.
2598	Black kiteshield (g)		Swap this note at any bank for a Black kiteshield (g).
2589	Black kiteshield (t)		Black kiteshield with trim.
2590	Black kiteshield (t)		Swap this note at any bank for a Black kiteshield (t).
869	Black knife	Members	A finely balanced throwing knife.
874	Black knife(p)	Members	A finely balanced throwing knife.
1297	Black longsword		A razor sharp longsword.
1298	Black longsword		Swap this note at any bank for a Black longsword.
1426	Black mace		A spiky mace.
1427	Black mace		Swap this note at any bank for a Black mace.
1151	Black med helm		A medium sized helmet.
1152	Black med helm		Swap this note at any bank for a Black med helm.
1666	Black necklace		None
1667	Black necklace		Swap this note at any bank for a Black necklace.
1125	Black platebody		Provides excellent protection.
1126	Black platebody		Swap this note at any bank for a Black platebody.
2591	Black platebody (g)		Black platebody with gold trim.
2592	Black platebody (g)		Swap this note at any bank for a Black platebody (g).
2583	Black platebody (t)		Black plate body with trim.
2584	Black platebody (t)		Swap this note at any bank for a Black platebody (t).
1077	Black platelegs		Big, black and heavy looking.
1078	Black platelegs		Swap this note at any bank for a Black platelegs.
2593	Black platelegs (g)		Black platelegs with gold trim.
2594	Black platelegs (g)		Swap this note at any bank for a Black platelegs (g).
2585	Black platelegs (t)		Black platelegs with trim.
2586	Black platelegs (t)		Swap this note at any bank for a Black platelegs (t).
1089	Black plateskirt		Big, black and heavy looking.
1090	Black plateskirt		Swap this note at any bank for a Black plateskirt.
3473	Black plateskirt (g)		Black plateskirt with gold trim.
3669	Black plateskirt (g)		Swap this note at any bank for a Black plateskirt (g).
3472	Black plateskirt (t)		Black plateskirt with trim.
3668	Black plateskirt (t)		Swap this note at any bank for a Black plateskirt (t).
1647	Black ring		None
1648	Black ring		Swap this note at any bank for a Black ring.
581	Black robe		I can do magic better in this.
582	Black robe		Swap this note at any bank for a Black robe.
1327	Black scimitar		A vicious curved sword.
1328	Black scimitar		Swap this note at any bank for a Black scimitar.
1015	Black skirt		Clothing favoured by women and dark wizards.
1016	Black skirt		Swap this note at any bank for a Black skirt.
1179	Black sq shield		A medium square shield.
1180	Black sq shield		Swap this note at any bank for a Black sq shield.
1283	Black sword		A razor sharp sword.
1284	Black sword		Swap this note at any bank for a Black sword.
1341	Black warhammer		I don't think it's intended for joinery.
1342	Black warhammer		Swap this note at any bank for a Black warhammer.
3353	Blamish bark shell	Members	A large bark coloured blamish snail shell, looks protective.
3354	Blamish bark shell	Members	Swap this note at any bank for a Blamish bark shell.
3351	Blamish blue shell	Members	A large blue coloured blamish snail shell, looks protective.
3352	Blamish blue shell	Members	Swap this note at any bank for a Blamish blue shell.
3361	Blamish blue shell	Members	A large blue coloured blamish snail shell, looks protective.
3362	Blamish blue shell	Members	Swap this note at any bank for a Blamish blue shell.
3345	Blamish myre shell	Members	A large 'Myre' coloured blamish snail shell, looks protective.
3346	Blamish myre shell	Members	Swap this note at any bank for a Blamish myre shell.
3355	Blamish myre shell	Members	A large 'Myre' coloured blamish snail shell, looks protective.
3356	Blamish myre shell	Members	Swap this note at any bank for a Blamish myre shell.
3349	Blamish ochre shell	Members	A large muddy yellow coloured blamish snail shell, looks protective.
3350	Blamish ochre shell	Members	Swap this note at any bank for a Blamish ochre shell.
3359	Blamish ochre shell	Members	A large ochre coloured blamish snail shell, looks protective.
3360	Blamish ochre shell	Members	Swap this note at any bank for a Blamish ochre shell.
1582	Blamish oil	Members	Made from the finest snail slime.
3347	Blamish red shell	Members	A large red and black blamish snail shell, looks protective.
3348	Blamish red shell	Members	Swap this note at any bank for a Blamish red shell.
3357	Blamish red shell	Members	A large red coloured blamish snail shell, looks protective.
3358	Blamish red shell	Members	Swap this note at any bank for a Blamish red shell.
1581	Blamish snail slime	Members	Yuck.
722	Blessed gold bowl	Members	A specially made bowl constructed out of pure gold and blessed.
2875	Bloated toad	Members	An inflated toad.
565	Blood rune	Members	Used for high level missile spells.
1450	Blood talisman	Members	A mysterious power emanates from the talisman...
1451	Blood talisman	Members	Swap this note at any bank for a Blood talisman.
3329	Blood'n'tar snelm	Members	A red and black Snail shell helmet.
3330	Blood'n'tar snelm	Members	Swap this note at any bank for a Blood'n'tar snelm.
3339	Blood'n'tar snelm	Members	A red and black pointed snail shell helmet.
3340	Blood'n'tar snelm	Members	Swap this note at any bank for a Blood'n'tar snelm.
243	Blue dragon scale	Members	A large shiny scale.
244	Blue dragon scale	Members	Swap this note at any bank for a Blue dragon scale.
1767	Blue dye		A little bottle of blue dye.
1768	Blue dye		Swap this note at any bank for a Blue dye.
287	Blue goblin mail		Armour designed to fit goblins.
740	Blue hat	Members	A strange blue wizards hat.
1042	Blue partyhat		A nice hat from a cracker.
1043	Blue partyhat		Swap this note at any bank for a Blue partyhat.
1011	Blue skirt		Leg covering favoured by women and wizards.
1012	Blue skirt		Swap this note at any bank for a Blue skirt.
3719	Blue thread	Members	Some blue thread.
2028	Blurberry special	Members	Looks good... smells strong.
2029	Blurberry special	Members	Swap this note at any bank for a Blurberry special.
2064	Blurberry special	Members	Looks good... smells strong.
2065	Blurberry special	Members	Swap this note at any bank for a Blurberry special.
668	Blurite ore		Definitely blue.
667	Blurite sword		A Faladian Knight's sword.
3869	Board game piece	Members	A piece used in board games.
3870	Board game piece	Members	A piece used in board games.
3871	Board game piece	Members	A piece used in board games.
3872	Board game piece	Members	A piece used in board games.
3873	Board game piece	Members	A piece used in board games.
3874	Board game piece	Members	A piece used in board games.
3875	Board game piece	Members	A piece used in board games.
3876	Board game piece	Members	A piece used in board games.
3877	Board game piece	Members	A piece used in board games.
3878	Board game piece	Members	A piece used in board games.
3879	Board game piece	Members	A piece used in board games.
3880	Board game piece	Members	A piece used in board games.
3881	Board game piece	Members	A piece used in board games.
3882	Board game piece	Members	A piece used in board games.
3883	Board game piece	Members	A piece used in board games.
3884	Board game piece	Members	A piece used in board games.
3885	Board game piece	Members	A piece used in board games.
3886	Board game piece	Members	A piece used in board games.
3887	Board game piece	Members	A piece used in board games.
3888	Board game piece	Members	A piece used in board games.
3889	Board game piece	Members	A piece used in board games.
3890	Board game piece	Members	A piece used in board games.
3891	Board game piece	Members	A piece used in board games.
3892	Board game piece	Members	A piece used in board games.
1817	Bobs' print	Members	An imprint of Bobs' fingerprint.
559	Body rune		Used for curse spells.
1446	Body talisman		A mysterious power emanates from the talisman...
1447	Body talisman		Swap this note at any bank for a Body talisman.
3807	Bolt2		None
3808	Bolt3		None
3809	Bolt4		None
877	Bolts		Good if you have a crossbow!
3810	Bolts		None
878	Bolts(p)	Members	Vicious poisoned bolts.
618	Bone beads	Members	Beads carved out of a bone.
605	Bone key	Members	A bone key fashioned from a shard of bone.
604	Bone shard	Members	A slender bone shard given to you by Zadimus.
280	Bones	Members	These sheep remains are infected.
281	Bones	Members	These sheep remains are infected.
282	Bones	Members	These sheep remains are infected.
283	Bones	Members	These sheep remains are infected.
526	Bones		Bones are for burying!
527	Bones		Swap this note at any bank for a Bones.
2530	Bones		Bones are for burying!
2531	Bones		Swap this note at any bank for a Bones.
3187	Bones	Members	They seem to shake slightly... It might be a good idea to bury them.
757	Book		The Shield of Arrav by A R Wright.
1509	Book	Members	Turnip growing for beginners.
3844	Book of balance	Members	The holy book of Guthix.
730	Book of binding	Members	An ancient tome on Demonology.
292	Book on baxtorian	Members	A book on elven history in north runescape.
711	Book on chemicals	Members	It's about chemicals, judging from its' cover.
626	Boots	Members	They're soft and silky.
627	Boots	Members	Swap this note at any bank for a Boots.
628	Boots	Members	They're soft and silky.
629	Boots	Members	Swap this note at any bank for a Boots.
630	Boots	Members	They're soft and silky.
631	Boots	Members	Swap this note at any bank for a Boots.
632	Boots	Members	They're soft and silky.
633	Boots	Members	Swap this note at any bank for a Boots.
634	Boots	Members	They're soft and silky.
635	Boots	Members	Swap this note at any bank for a Boots.
2894	Boots	Members	Very stylish!
2895	Boots	Members	Swap this note at any bank for a Boots.
2904	Boots	Members	Very stylish!
2905	Boots	Members	Swap this note at any bank for a Boots.
2914	Boots	Members	Very stylish!
2915	Boots	Members	Swap this note at any bank for a Boots.
2924	Boots	Members	Very stylish!
2925	Boots	Members	Swap this note at any bank for a Boots.
2934	Boots	Members	Very stylish!
2935	Boots	Members	Swap this note at any bank for a Boots.
88	Boots of lightness	Members	Magic boots that make you lighter than normal.
89	Boots of lightness	Members	Magic boots that make you lighter than normal.
1777	Bow string	Members	I need a bow stave to attach this to.
1778	Bow string	Members	Swap this note at any bank for a Bow string.
1923	Bowl		Useful for mixing things.
1924	Bowl		Swap this note at any bank for a Bowl.
1921	Bowl of water		It's a bowl of water.
1922	Bowl of water		Swap this note at any bank for a Bowl of water.
3692	Branch	Members	I can use this to make a lyre.
2021	Brandy	Members	A strong spirit.
2022	Brandy	Members	Swap this note at any bank for a Brandy.
983	Brass key		A mysterious key made of brass.
984	Brass key		Swap this note at any bank for a Brass key.
1009	Brass necklace		I'd prefer a gold one.
1010	Brass necklace		Swap this note at any bank for a Brass necklace.
739	Bravery potion	Members	A bravery potion which Gujuo gave you the details for, let's hope it works.
2309	Bread		Nice crispy bread.
2310	Bread		Swap this note at any bank for a Bread.
2307	Bread dough		Some uncooked dough.
2308	Bread dough		Swap this note at any bank for a Bread dough.
698	Broken armour	Members	No use to me...
687	Broken arrow	Members	This must have been shot at high speed.
494	Broken axe		Bob can fix this for me.
495	Broken axe		Swap this note at any bank for a Broken axe.
496	Broken axe		Bob can fix this for me.
497	Broken axe		Swap this note at any bank for a Broken axe.
498	Broken axe		Bob can fix this for me.
499	Broken axe		Swap this note at any bank for a Broken axe.
500	Broken axe		Bob can fix this for me.
